code,pinyin,pinyinwithtone
guZ,wa4,wà
ntZ,han1,hān
RdZ,lu1,lū
BPZ,nao2,náo
HGZ,chun3,chǔn
THZ,kua3,kuǎ
nOZ,ha2,há
HDZ,chong3,chǒng
MJZ,tui2,tuí
pBZ,qin4,qìn
HRZ,chuai1,chuāi
HQZ,chuai3,chuǎi
FeZ,tie4,tiè
qdZ,yu1,yū
lFZ,mang3,mǎng
HeZ,chuo4,chuò
wtZ,chan1,chān
cPZ,shao2,sháo
MtZ,tuan1,tuān
cbZ,she1,shē
YeZ,nve4,nüè
oqZ,lao4,lào
iMZ,zou1,zōu
fPZ,xiao2,xiáo
ewZ,zhou3,zhǒu
OeZ,jue4,juè
hkZ,bo3,bǒ
mGZ,lin3,lǐn
pGZ,qin3,qǐn
RnZ,luan2,luán
ruZ,ga4,gà
wDZ,cheng3,chěng
QgZ,peng1,pēng
CkZ,bie3,biě
CBZ,bin4,bìn
MBZ,tun4,tùn
pHZ,qia3,qiǎ
RpZ,long4,lòng
ePZ,zhao2,zháo
AHZ,a3,ǎ
AGZ,n3,n
RgZ,long1,lōng
DJZ,shui2,shuí
heZ,bo4,bò
lfZ,mu2,mú
KzZ,niu4,niù
AvZ,ang4,àng
LrZ,cen2,cén
gpZ,weng4,wèng
LpZ,ceng4,cèng
AyZ,ang1,āng
poZ,qia1,qiā
mBZ,lin4,lìn
ixZ,zan3,zǎn
VnZ,cuan2,cuán
VGZ,cun3,cǔn
hRZ,bai1,bāi
DGZ,shun3,shǔn
ExZ,zuan3,zuǎn
JwZ,sou3,sǒu
SDZ,rong3,rǒng
xGZ,dun3,dǔn
DhZ,shuan4,shuàn
wlZ,chen1,chēn
rBZ,gen4,gèn
TKZ,kui3,kuǐ
VtZ,cuan1,cuān
ObZ,jue1,juē
KtZ,nian1,niān
nLZ,hao1,hāo
zMZ,kou1,kōu
ByZ,nang1,nāng
KMZ,niu1,niū
oyZ,lang1,lāng
IiZ,que2,qué
JqZ,sao4,sào
BKZ,nei3,něi
lAZ,mao3,mǎo
BeZ,ne4,nè
ulZ,zhun1,zhūn
ieZ,ze4,zè
itZ,zan1,zān
UnZ,pian2,pián
gQZ,wai3,wǎi
HsZ,chuai4,chuài
LdZ,ci1,cī
VKZ,cui3,cuǐ
BtZ,nan1,nān
uFZ,zhuang3,zhuǎng
BLZ,nao1,nāo
sNZ,tei1,tēi
GbZ,mie1,miē
LgZ,ceng1,cēng
vEZ,rang2,ráng
qjZ,yong2,yóng
QkZ,po3,pǒ
CqZ,biao4,biào
AzZ,ou4,òu
wHZ,cha3,chǎ
zsZ,kai4,kài
BxZ,nan3,nǎn
lMZ,mou1,mōu
LlZ,cen1,cēn
EbZ,zuo1,zuō
AkZ,e3,ě
AkZ,o3,ǒ
nvZ,hang4,hàng
CeZ,bie4,biè
nHZ,ha3,hǎ
nuZ,ha4,hà
tpZ,hong4,hòng
OkZ,jue3,juě
BoZ,na1,nā
BiZ,ne2,né
QBZ,pen4,pèn
vyZ,rang1,rāng
DuZ,shua4,shuà
cQZ,shai3,shǎi
QQZ,pai3,pǎi
uRZ,zhuai1,zhuāi
emZ,zhei4,zhèi
nyZ,hang1,hāng
rGZ,gen3,gěn
gDZ,weng3,wěng
yAZ,diao3,diǎo
IlZ,qun1,qūn
wGZ,chen3,chěn
nMZ,hou1,hōu
hdZ,bu1,bū
yHZ,dia3,diǎ
GDZ,ming3,mǐng
wsZ,chai4,chài
YaZ,nv4,nǜ
ViZ,cuo2,cuó
VfZ,cu2,cú
ltZ,man1,mān
aPZ,dao2,dáo
zNZ,kei1,kēi
QFZ,pang3,pǎng
TFZ,kuang3,kuǎng
lyZ,mang1,māng
pOZ,qia2,qiá
UxZ,pian3,piǎn
iBZ,zen4,zèn
BFZ,nang3,nǎng
TQZ,kuai3,kuǎi
swZ,tou3,tǒu
ANZ,ei1,ēi
AJZ,ei2,éi
AKZ,ei3,ěi
AmZ,ei4,èi
SJZ,rui2,ruí
hfZ,bu2,bú
MxZ,tuan3,tuǎn
zBZ,ken4,kèn
BzZ,nou4,nòu
QIZ,pou2,póu
MhZ,tuan4,tuàn
OgZ,jiong1,jiōng
GLZ,miao1,miāo
QwZ,pou3,pǒu
pwZ,qiu3,qiǔ
FpZ,ting4,tìng
EGZ,zun3,zǔn
zLZ,kao1,kāo
frZ,xin2,xín
NpZ,xiong4,xiòng
rrZ,gen2,gén
qkZ,yue3,yuě
VkZ,cuo3,cuǒ
iFZ,zang3,zǎng
wqZ,chao4,chào
wQZ,chai3,chǎi
LqZ,cao4,cào
FhZ,tian4,tiàn
aeZ,de4,dè
aNZ,dei1,dēi
sQZ,tai3,tǎi
ogZ,leng1,lēng
aBZ,den4,dèn
AgZ,eng1,ēng
fGZ,xin3,xǐn
nlZ,hm1,hm
SnZ,ruan2,ruán
SiZ,ruo2,ruó
SOZ,rua2,ruá
HoZ,chua1,chuā
sgZ,teng1,tēng
BvZ,nang4,nàng
RGZ,lun3,lǔn
AoZ,a,a
hoZ,ba,ba
hRZ,bai,bai
hLZ,bao,bao
hNZ,bei,bei
CgZ,bing,bing
hbZ,bo,bo
hdZ,bu,bu
woZ,cha,cha
wyZ,chang,chang
wLZ,chao,chao
wlZ,chen,chen
wgZ,cheng,cheng
wdZ,chi,chi
wMZ,chou,chou
HdZ,chu,chu
aoZ,da,da
aRZ,dai,dai
ayZ,dang,dang
aLZ,dao,dao
abZ,de,de
ydZ,di,di
xbZ,duo,duo
joZ,fa,fa
jtZ,fan,fan
jyZ,fang,fang
jlZ,fen,fen
jdZ,fu,fu
rtZ,gan,gan
rbZ,ge,ge
kgZ,gong,gong
rMZ,gou,gou
kdZ,gu,gu
kbZ,guo,guo
kdZ,gu,gu
nRZ,hai,hai
ntZ,han,han
nbZ,he,he
nMZ,hou,hou
tdZ,hu,hu
toZ,hua,hua
ttZ,huan,huan
tbZ,huo,huo
ddZ,ji,ji
uQZ,zhuai3,zhuǎi
